Title,Genre,Original Network,Premiere,Seasons,Length,Netflix Exclusive Regions,Status
The Kissing Booth 2[7],Romantic comedy,Netflix,"July 24, 2020[8]",,"2 hours, 10 min.",Worldwide,
Project Power,Science fiction/Thriller,Netflix,"August 14, 2020[9]",,TBA,Worldwide,
Unknown Origins,Thriller,Netflix,"August 28, 2020[10]",,"1 hour, 40 min.",Worldwide,
Art of Conflict: The Murals of Northern Ireland[a],Documentaries,Netflix,"October 12, 2012",,"1 hour, 13 min.",Worldwide,
The Short Game,Documentaries,Netflix,"December 12, 2013",,"1 hour, 39 min.",Worldwide,
The Square,Documentaries,Netflix,"January 17, 2014",,"1 hour, 44 min.",Worldwide,
Mitt,Documentaries,Netflix,"January 24, 2014",,"1 hour, 32 min.",Worldwide,
The Battered Bastards of Baseball,Documentaries,Netflix,"July 11, 2014",,"1 hour, 13 min.",Worldwide,
Mission Blue,Documentaries,Netflix,"August 15, 2014",,"1 hour, 35 min.",Worldwide,
Print the Legend,Documentaries,Netflix,"September 26, 2014",,"1 hour, 40 min.",Worldwide,
E-Team,Documentaries,Netflix,"October 24, 2014",,"1 hour, 30 min.",Worldwide,
Virunga,Documentaries,Netflix,"November 7, 2014",,"1 hour, 40 min.",Worldwide,
My Own Man,Documentaries,Netflix,"March 6, 2015",,"1 hour, 21 min.",Worldwide,
The Other One: The Long Strange Trip of Bob Weir,Documentaries,Netflix,"May 22, 2015",,"1 hour, 23 min.",Worldwide,
Hot Girls Wanted,Documentaries,Netflix,"May 29, 2015",,"1 hour, 24 min.",Worldwide,
"What Happened, Miss Simone?",Documentaries,Netflix,"June 26, 2015",,"1 hour, 24 min.",Worldwide,
Tig,Documentaries,Netflix,"July 17, 2015",,"1 hour, 20 min.",Worldwide,
Keith Richards: Under the Influence,Documentaries,Netflix,"September 18, 2015",,"1 hour, 21 min.",Worldwide,
Winter on Fire: Ukraine's Fight for Freedom,Documentaries,Netflix,"October 9, 2015",,"1 hour, 31 min.",Worldwide,
My Beautiful Broken Brain,Documentaries,Netflix,"March 18, 2016",,"1 hour, 31 min.",Worldwide,
Team Foxcatcher,Documentaries,Netflix,"April 29, 2016",,"1 hour, 30 min.",Worldwide,
Tony Robbins: I Am Not Your Guru,Documentaries,Netflix,"July 15, 2016",,"1 hour, 56 min.",Worldwide,
I'll Sleep When I'm Dead,Documentaries,Netflix,"August 19, 2016",,"1 hour, 19 min.",Worldwide,
Extremis,Documentaries,Netflix,"September 13, 2016",,24 min.,Worldwide,
The White Helmets,Documentaries,Netflix,"September 16, 2016",,40 min.,Worldwide,
Audrie & Daisy,Documentaries,Netflix,"September 23, 2016",,"1 hour, 38 min.",Worldwide,
Amanda Knox,Documentaries,Netflix,"September 30, 2016",,"1 hour, 32 min.",Worldwide,
13th,Documentaries,Netflix,"October 7, 2016",,"1 hour, 40 min.",Worldwide,
Sky Ladder: The Art of Cai Guo-Qiang,Documentaries,Netflix,"October 14, 2016",,"1 hour, 19 min.",Worldwide,
Into the Inferno,Documentaries,Netflix,"October 28, 2016",,"1 hour, 47 min.",Worldwide,
The Ivory Game,Documentaries,Netflix,"November 4, 2016",,"1 hour, 52 min.",Worldwide,
Casting JonBenet,Documentaries,Netflix,"April 28, 2017",,"1 hour, 20 min.",Worldwide,
The Mars Generation,Documentaries,Netflix,"May 5, 2017",,"1 hour, 37 min.",Worldwide,
Get Me Roger Stone,Documentaries,Netflix,"May 12, 2017",,"1 hour, 41 min.",Worldwide,
Laerte-se,Documentaries,Netflix,"May 19, 2017",,"1 hour, 40 min.",Worldwide,
Joshua: Teenager vs. Superpower,Documentaries,Netflix,"May 26, 2017",,"1 hour, 18 min.",Worldwide,
CounterPunch,Documentaries,Netflix,"June 16, 2017",,"1 hour, 31 min.",Worldwide,
Nobody Speak: Trials of the Free Press,Documentaries,Netflix,"June 23, 2017",,"1 hour, 35 min.",Worldwide,
Chasing Coral,Documentaries,Netflix,"July 14, 2017",,"1 hour, 29 min.",Worldwide,
Icarus,Documentaries,Netflix,"August 4, 2017",,2 hours,Worldwide,
Resurface,Documentaries,Netflix,"September 1, 2017",,27 min.,Worldwide,
Heroin(e),Documentaries,Netflix,"September 12, 2017",,39 min.,Worldwide,
Strong Island,Documentaries,Netflix,"September 15, 2017",,"1 hour, 47 min.",Worldwide,
Gaga: Five Foot Two,Documentaries,Netflix,"September 22, 2017",,"1 hour, 40 min.",Worldwide,
Long Shot,Documentaries,Netflix,"September 29, 2017",,40 min.,Worldwide,
The Death and Life of Marsha P. Johnson,Documentaries,Netflix,"October 6, 2017",,"1 hour, 45 min.",Worldwide,
Kingdom of Us,Documentaries,Netflix,"October 13, 2017",,"1 hour, 49 min.",Worldwide,
One of Us,Documentaries,Netflix,"October 20, 2017",,"1 hour, 35 min.",Worldwide,
Joan Didion: The Center Will Not Hold,Documentaries,Netflix,"October 27, 2017",,"1 hour, 38 min.",Worldwide,
"Jim & Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Documentaries,Netflix,"November 17, 2017",,"1 hour, 34 min.",Worldwide,
Saving Capitalism,Documentaries,Netflix,"November 21, 2017",,"1 hour, 13 min.",Worldwide,
Cuba and the Cameraman,Documentaries,Netflix,"November 24, 2017",,"1 hour, 54 min.",Worldwide,
Voyeur,Documentaries,Netflix,"December 1, 2017",,"1 hour, 35 min.",Worldwide,
Seeing Allred,Documentaries,Netflix,"February 9, 2018",,"1 hour, 35 min.",Worldwide,
The Trader,Documentaries,Netflix,"February 9, 2018",,23 min.,Worldwide,
Ladies First,Documentaries,Netflix,"March 8, 2018",,39 min.,Worldwide,
Take Your Pills,Documentaries,Netflix,"March 16, 2018",,"1 hour, 27 min.",Worldwide,
"Ram Dass, Going Home",Documentaries,Netflix,"April 6, 2018",,31 min.,Worldwide,
Mercury 13,Documentaries,Netflix,"April 20, 2018",,"1 hour, 19 min.",Worldwide,
The Rachel Divide,Documentaries,Netflix,"April 27, 2018",,"1 hour, 44 min.",Worldwide,
End Game,Documentaries,Netflix,"May 4, 2018",,40 min.,Worldwide,
Recovery Boys,Documentaries,Netflix,"June 29, 2018",,"1 hour, 29 min.",Worldwide,
The Bleeding Edge,Documentaries,Netflix,"July 27, 2018",,"1 hour, 40 min.",Worldwide,
Zion,Documentaries,Netflix,"August 10, 2018",,11 min.,Worldwide,
City of Joy,Documentaries,Netflix,"September 7, 2018",,"1 hour, 16 min.",Worldwide,
Reversing Roe,Documentaries,Netflix,"September 13, 2018",,"1 hour, 39 min.",Worldwide,
Quincy,Documentaries,Netflix,"September 21, 2018",,"2 hours, 4 min.",Worldwide,
Two Catalonias,Documentaries,Netflix,"September 28, 2018",,"1 hour, 56 min.",Worldwide,
Lessons from a School Shooting: Notes from Dunblane,Documentaries,Netflix,"September 28, 2018",,23 min.,Worldwide,
Feminists: What Were They Thinking?,Documentaries,Netflix,"October 12, 2018",,"1 hour, 26 min.",Worldwide,
ReMastered: Who Shot the Sheriff?,Documentaries,Netflix,"October 12, 2018",,57 min.,Worldwide,
Shirkers,Documentaries,Netflix,"October 26, 2018",,"1 hour, 37 min.",Worldwide,
They'll Love Me When I'm Dead,Documentaries,Netflix,"November 2, 2018",,"1 hour, 38 min.",Worldwide,
ReMastered: Tricky Dick & the Man in Black,Documentaries,Netflix,"November 2, 2018",,58 min.,Worldwide,
The American Meme,Documentaries,Netflix,"December 7, 2018",,"1 hour, 38 min.",Worldwide,
ReMastered: Who Killed Jam Master Jay?,Documentaries,Netflix,"December 7, 2018",,58 min.,Worldwide,
"Out of Many, One",Documentaries,Netflix,"December 12, 2018",,34 min.,Worldwide,
Struggle: The Life and Lost Art of Szukalski,Documentaries,Netflix,"December 21, 2018",,"1 hour, 45 min.",Worldwide,
ReMastered: Massacre at the Stadium,Documentaries,Netflix,"January 11, 2019",,"1 hour, 4 min.",Worldwide,
Fyre: The Greatest Party That Never Happened,Documentaries,Netflix,"January 18, 2019",,"1 hour, 37 min.",Worldwide,
ReMastered: The Two Killings of Sam Cooke,Documentaries,Netflix,"February 8, 2019",,"1 hour, 4 min.",Worldwide,
Period. End of Sentence.,Documentaries,Netflix,"February 12, 2019",,26 min.,Worldwide,
Antoine Griezmann: The Making of a Legend,Documentaries,Netflix,"March 21, 2019",,1 hour,Worldwide,
ReMastered: The Miami Showband Massacre,Documentaries,Netflix,"March 22, 2019",,"1 hour, 10 min.",Worldwide,
The Legend of Cocaine Island,Documentaries,Netflix,"March 29, 2019",,"1 hour, 27 min.",Worldwide,
Homecoming: A Film by Beyoncé,Documentaries,Netflix,"April 17, 2019",,"2 hours, 17 min.",Worldwide,
Brené Brown: The Call to Courage,Documentaries,Netflix,"April 19, 2019",,"1 hour, 16 min.",Worldwide,
Grass Is Greener,Documentaries,Netflix,"April 20, 2019",,"1 hour, 37 min.",Worldwide,
ReMastered: Devil at the Crossroads,Documentaries,Netflix,"April 26, 2019",,48 min.,Worldwide,
Knock Down the House,Documentaries,Netflix,"May 1, 2019",,"1 hour, 27 min.",Worldwide,
All in My Family,Documentaries,Netflix,"May 3, 2019",,39 min.,Worldwide,
ReMastered: The Lion's Share,Documentaries,Netflix,"May 17, 2019",,"1 hour, 24 min.",Worldwide,
A Tale of Two Kitchens,Documentaries,Netflix,"May 22, 2019",,30 min.,Worldwide,
After Maria,Documentaries,Netflix,"May 24, 2019",,37 min.,Worldwide,
The Black Godfather,Documentaries,Netflix,"June 7, 2019",,"1 hour, 58 min.",Worldwide,
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Documentaries,Netflix,"June 12, 2019",,"2 hours, 22 min.",Worldwide,
Life Overtakes Me,Documentaries,Netflix,"June 14, 2019",,40 min.,Worldwide,
The Edge of Democracy,Documentaries,Netflix,"June 19, 2019",,"2 hours, 1 min.",Worldwide,
Parchis: The Documentary,Documentaries,Netflix,"July 10, 2019",,"1 hour, 46 min.",Worldwide,
The Great Hack,Documentaries,Netflix,"July 24, 2019",,"1 hour, 54 min.",Worldwide,
Enter the Anime,Documentaries,Netflix,"August 5, 2019",,58 min.,Worldwide,
American Factory,Documentaries,Netflix,"August 21, 2019",,"1 hour, 50 min.",Worldwide,
Travis Scott: Look Mom I Can Fly,Documentaries,Netflix,"August 28, 2019",,"1 hour, 25 min.",Worldwide,
The Crystal Calls – Making The Dark Crystal: Age of Resistance,Documentaries,Netflix,"August 31, 2019",,"1 hour, 22 min.",Worldwide,
Evelyn,Documentaries,Netflix,"September 10, 2019",,"1 hour, 36 min.",Worldwide,
"Hello, Privilege. It's Me, Chelsea",Documentaries,Netflix,"September 13, 2019",,"1 hour, 4 min.",Worldwide,
Los Tigres del Norte at Folsom Prison,Documentaries,Netflix,"September 15, 2019",,"1 hour, 4 min.",Worldwide,
Birders,Documentaries,Netflix,"September 25, 2019",,37 min.,Worldwide,
Ghosts of Sugar Land,Documentaries,Netflix,"October 16, 2019",,21 min.,Worldwide,
Tell Me Who I Am,Documentaries,Netflix,"October 18, 2019",,"1 hour, 25 min.",Worldwide,
Dancing with the Birds,Documentaries,Netflix,"October 23, 2019",,51 min.,Worldwide,
It Takes a Lunatic,Documentaries,Netflix,"October 25, 2019",,"2 hours, 6 min.",Worldwide,
A 3 Minute Hug,Documentaries,Netflix,"October 28, 2019",,28 min.,Worldwide,
Little Miss Sumo,Documentaries,Netflix,"October 28, 2019",,19 min.,Worldwide,
Fire in Paradise,Documentaries,Netflix,"November 1, 2019",,39 min.,Worldwide,
"Bikram: Yogi, Guru, Predator",Documentaries,Netflix,"November 20, 2019",,"1 hour, 26 min.",Worldwide,
"Lorena, Light-Footed Woman",Documentaries,Netflix,"November 20, 2019",,28 min.,Worldwide,
After the Raid,Documentaries,Netflix,"December 19, 2019",,25 min.,Worldwide,
El Pepe: A Supreme Life,Documentaries,Netflix,"December 27, 2019",,"1 hour, 13 min.",Worldwide,
Miss Americana,Documentaries,Netflix,"January 31, 2020",,"1 hour, 25 min.",Worldwide,
A Life of Speed: The Juan Manuel Fangio Story,Documentaries,Netflix,"March 20, 2020",,"1 hour, 32 min.",Worldwide,
Crip Camp: A Disability Revolution,Documentaries,Netflix,"March 25, 2020",,"1 hour, 48 min.",Worldwide,
LA Originals,Documentaries,Netflix,"April 10, 2020",,"1 hour, 32 min.",Worldwide,
Circus of Books,Documentaries,Netflix,"April 22, 2020",,"1 hour, 26 min.",Worldwide,
A Secret Love,Documentaries,Netflix,"April 29, 2020",,"1 hour, 22 min.",Worldwide,
Murder to Mercy: The Cyntoia Brown Story,Documentaries,Netflix,"April 29, 2020",,"1 hour, 37 min.",Worldwide,
Becoming,Documentaries,Netflix,"May 6, 2020",,"1 hour, 29 min.",Worldwide,
Have a Good Trip: Adventures in Psychedelics,Documentaries,Netflix,"May 11, 2020",,"1 hour, 25 min.",Worldwide,
Spelling the Dream,Documentaries,Netflix,"June 3, 2020",,"1 hour, 23 min.",Worldwide,
One Take,Documentaries,Netflix,"June 18, 2020",,"1 hour, 25 min.",Worldwide,
Disclosure,Documentaries,Netflix,"June 19, 2020",,"1 hour, 47 min.",Worldwide,
Athlete A,Documentaries,Netflix,"June 24, 2020",,"1 hour, 44 min.",Worldwide,
Awaiting release,Documentaries,Netflix,Awaiting release,,Awaiting release,Worldwide,
Mucho Mucho Amor: The Legend of Walter Mercado[235],Documentaries,Netflix,"July 8, 2020[236]",,TBA,Worldwide,
The Claudia Kishi Club[237],Documentaries,Netflix,"July 10, 2020",,17 min.,Worldwide,
Father Soldier Son[238],Documentaries,Netflix,"July 17, 2020",,TBA,Worldwide,
The Speed Cubers[237],Documentaries,Netflix,"July 29, 2020",,40 min.,Worldwide,
John Was Trying to Contact Aliens[237],Documentaries,Netflix,"August 20, 2020",,16 min.,Worldwide,
A Very Murray Christmas,Comedy / Musical,Netflix,"December 4, 2015",,56 min.,Worldwide,
Justin Timberlake + The Tennessee Kids,Concert film,Netflix,"October 12, 2016",,"1 hour, 30 min.",Worldwide,
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,Netflix,"January 26, 2017",,36 min.,Worldwide,
"Michael Bolton's Big, Sexy Valentine's Day Special",Variety show,Netflix,"February 7, 2017",,54 min.,Worldwide,
Rodney King,One-man show,Netflix,"April 28, 2017",,52 min.,Worldwide,
"Barbra: The Music, The Mem'ries, The Magic",Concert film,Netflix,"November 22, 2017",,"1 hour, 48 min.",Worldwide,
Derren Brown: Sacrifice,Mentalism special,Netflix,"October 19, 2018",,49 min.,Worldwide,
Loudon Wainwright III: Surviving Twin,One-man show,Netflix,"November 13, 2018",,"1 hour, 31 min.",Worldwide,
Springsteen on Broadway,One-man show,Netflix,"December 16, 2018",,"2 hours, 33 min.",Worldwide,
Porta dos Fundos: The Last Hangover,Comedy,Netflix,"December 21, 2018",,44 min.,Worldwide,
Taylor Swift: Reputation Stadium Tour,Concert film,Netflix,"December 31, 2018",,"2 hours, 5 min.",Worldwide,
Kevin Hart's Guide to Black History,Variety show,Netflix,"February 8, 2019",,"1 hour, 3 min.",Worldwide,
Still Laugh-In: The Stars Celebrate,Variety show,Netflix,"May 14, 2019",,1 hour,Worldwide,
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,Netflix,"May 23, 2019",,30 min.,Worldwide,
Anima,Musical / Short,Netflix,"June 27, 2019",,15 min.,Worldwide,
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,Netflix,"July 16, 2019",,32 min.,Worldwide,
Rocko's Modern Life: Static Cling,Animation / Comedy,Netflix,"August 9, 2019",,45 min.,Worldwide,
Invader Zim: Enter the Florpus,Animation / Science fiction,Netflix,"August 16, 2019",,"1 hour, 11 min.",Worldwide,
American Factory: A Conversation with the Obamas,Aftershow / Interview,Netflix,"August 21, 2019",,10 min.,Worldwide,
Sturgill Simpson Presents: Sound & Fury,Animation / Musical,Netflix,"September 27, 2019",,41 min.,Worldwide,
The Road to El Camino: A Breaking Bad Movie,Making-of,Netflix,"October 29, 2019",,13 min.,Worldwide,
The Irishman: In Conversation,Aftershow / Interview,Netflix,"November 27, 2019",,23 min.,Worldwide,
Porta dos Fundos: The First Temptation of Christ,Comedy,Netflix,"December 3, 2019",,46 min.,Worldwide,
John Mulaney & the Sack Lunch Bunch,Variety show,Netflix,"December 24, 2019",,"1 hour, 10 min.",Worldwide,
What Did Jack Do?,Drama / Short,Netflix,"January 20, 2020",,17 min.,Worldwide,
Road to Roma,Making-of,Netflix,"February 11, 2020",,"1 hour, 12 min.",Worldwide,
Sitara: Let Girls Dream,Animation,Netflix,"March 8, 2020",,15 min.,Worldwide,
Sol Levante,Anime / Short,Netflix,"April 2, 2020",,4 min.,Worldwide,
Ben Platt: Live from Radio City Music Hall,Concert film,Netflix,"May 20, 2020",,"1 hour, 25 min.",Worldwide,
Leo the Lion,Animation,Netflix,2005,,"1 hour, 17 min.",Worldwide except Italy,
The Crew,Crime drama,Netflix,2015,,"1 hour, 21 min.",Selected territories[248],
The Little Prince,Animation,Netflix,2015,,"1 hour, 46 min.","United States, United Kingdom, Ireland, Australia, New Zealand[249]",
Ali's Wedding,Romantic comedy,Netflix,2016,,"1 hour, 50 min.",Worldwide except Australia and New Zealand[250],
Bad Moms,Comedy,Netflix,2016,,"1 hour, 40 min.",Japan,
Before I Wake,Horror-Fantasy,Netflix,2016,,"1 hour, 37 min.","United States, United Kingdom, Ireland, France, Czech Republic and Nordics[251]",
Big Fish & Begonia,Animation,Netflix,2016,,"1 hour, 45 min.",Selected territories including Japan[252] and Latin America[253],
Brain on Fire,Drama,Netflix,2016,,"1 hour, 35 min.",Selected territories,
David Brent: Life on the Road,Comedy,Netflix,2016,,"1 hour, 36 min.","Worldwide except United Kingdom, Ireland, Australia, and New Zealand[254]",
Divines,Drama,Netflix,2016,,"1 hour, 45 min.",Worldwide except France,
Hell or High Water,Crime drama,Netflix,2016,,"1 hour, 43 min.","Italy, San Marino, Vatican City,[255] Japan[256]",
In the Shadow of Iris,Thriller,Netflix,2016,,"1 hour, 38 min.",Worldwide except France,
Journey to Greenland,Comedy,Netflix,2016,,"1 hour, 38 min.",Worldwide except France[257],
Kung Fu Panda 3,Animation,Netflix,2016,,"1 hour, 34 min.",Japan[258],
Layla M.,Drama,Netflix,2016,,"1 hour, 38 min.",Worldwide except the Netherlands and Japan[259],
Mercenary,Drama-Sports,Netflix,2016,,"1 hour, 38 min.","Selected territories, including Sweden and Czech Republic[260]",
Message from the King,Drama,Netflix,2016,,"1 hour, 43 min.","United States, Sweden, multiple territories[261]",
Middle School: The Worst Years of My Life,Comedy,Netflix,2016,,"1 hour, 32 min.","United Kingdom, Ireland, Benelux, DACH, Italy, Spain, Japan, India[262]",
Mindhorn,Comedy,Netflix,2016,,"1 hour, 28 min.",Worldwide except the United Kingdom and Ireland[263],
Pandora,Thriller,Netflix,2016,,"2 hours, 16 min.",Multiple territories except South Korea and Japan[264],
Sand Storm,Drama,Netflix,2016,,"1 hour, 28 min.",Worldwide except Israel[265],
Skiptrace,Action/Adventure,Netflix,2016,,"1 hour, 47 min.","United Kingdom, Ireland, France",
Slam,Teen Drama,Netflix,2016,,"1 hour, 40 min.",Worldwide except Italy[266],
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,Comedy,Netflix,2016,,"1 hour, 48 min.","Worldwide except Nordics, DACH, Japan and Luxembourg[267]",
The 4th Company,Crime drama,Netflix,2016,,"1 hour, 56 min.",Selected territories,
The Bad Batch,Black comedy thriller,Netflix,2016,,"1 hour, 55 min.",Selected territories,
The Lighthouse of the Orcas,Drama,Netflix,2016,,"1 hour, 50 min.",Worldwide except Spain and Argentina[268],
Two Lovers and a Bear,Drama,Netflix,2016,,"1 hour, 36 min.",United States[269],
6 Days,Action thriller,Netflix,2017,,"1 hour, 34 min.",Selected territories,
A Bad Moms Christmas,Comedy,Netflix,2017,,"1 hour, 44 min.",Japan,
A Prayer Before Dawn,Drama,Netflix,2017,,"1 hour, 56 min.","India, Hong Kong, Singapore",
Angela's Christmas,Animation,Netflix,2017,,30 min.,"Selected territories including Japan, the United States and Sweden",
Animal Crackers,Animation,Netflix,2017,,"1 hour, 44 min.",Selected territories,
Before I Fall,Drama/mystery,Netflix,2017,,"1 hour, 38 min.","Canada, Czech Republic, France, Hungary, Ireland, Japan, Lithuania, Poland, Slovakia, UK",
Blade of the Immortal,Action-drama,Netflix,2017,,"2 hours, 20 min.","Spain, Sweden, Poland and Czech Republic[270]",
Burn Out,Action thriller,Netflix,2017,,"1 hour, 47 min.",Worldwide except France,
Bushwick,Action adventure,Netflix,2017,,"1 hour, 34 min.","Australia, Canada, France, Israel, Russia, South Korea, United Kingdom, United States",
Catching Feelings,Romantic comedy,Netflix,2017,,"2 hours, 4 min.",Worldwide[271][272],
Errementari,Fantasy,Netflix,2017,,"1 hour, 38 min.",Selected territories including Japan,
Forgotten,Thriller,Netflix,2017,,"1 hour, 48 min.","South Korea, Czech Republic and Sweden",
FullMetal Alchemist,Fantasy adventure,Netflix,2017,,"2 hours, 15 min.","United States, United Kingdom, Sweden and additional territories",
Godzilla: Planet of the Monsters,Anime,Netflix,2017,,"1 hour, 29 min.",Worldwide except Japan,
Good Time,Crime drama,Netflix,2017,,"1 hour, 50 min.",Selected territories[273],
Home Again,Romantic comedy,Netflix,2017,,"1 hour, 37 min.",Japan[274],
Kidnap,Thriller,Netflix,2017,,"1 hour, 22 min.",United Kingdom,
Kodachrome,Drama,Netflix,2017,,"1 hour, 40 min.","United States, Canada, UK, Italy, Benelux, Japan, India and the Nordics[275]",
Lucid Dream,Thriller,Netflix,2017,,"1 hour, 41 min.",Worldwide except South Korea,
Maktub,Drama,Netflix,2017,,"1 hour, 40 min.","Selected territories, including Sweden[276]",
Manhunt,Action thriller,Netflix,2017,,"1 hour, 46 min.",Selected territories including the US[277],
Mudbound,Drama,Netflix,2017,,"2 hours, 14 min.","United States, Sweden, Czech Republic and select other territories[278]",
My Happy Family,Drama,Netflix,2017,,2 hours,Worldwide except France[279],
On Body and Soul,Drama,Netflix,2017,,"1 hour, 57 min.",Selected territories[280],
Orbiter 9,Science fiction,Netflix,2017,,"1 hour, 35 min.","Worldwide except for Spain, Japan, Germany",
Ravenous,Horror,Netflix,2017,,"1 hour, 36 min.","Worldwide except Canada, Latin America and Eastern Europe[281]",
Rock My Heart,Drama,Netflix,2017,,"1 hour, 49 min.",Selected territories,
Sahara,Animation,Netflix,2017,,"1 hour, 24 min.",Selected territories[282][283],
Steel Rain,Action,Netflix,2017,,"2 hours, 19 min.","Worldwide except Australia, Israel, Singapore, Thailand",
The 3rd Eye,Horror,Netflix,2017,,"1 hour, 47 min.",Selected territories,
The Circle,Thriller,Netflix,2017,,"1 hour, 50 min.",United Kingdom and Ireland,
The Climb,Comedy,Netflix,2017,,"1 hour, 45 min.","Selected territories, including United States, United Kingdom, Canada and Sweden",
The Foreigner,Action/thriller,Netflix,2017,,"1 hour, 54 min.",United Kingdom,
The Hitman's Bodyguard,Action Comedy,Netflix,2017,,"1 hour, 58 min.",Japan[284],
The Motive,Drama,Netflix,2017,,"1 hour, 52 min.","Worldwide except Japan, Korea, China[285]",
The Ritual,Horror,Netflix,2017,,"1 hour, 34 min.","Worldwide, except the UK and Latin America",
The Skin of the Wolf,Drama,Netflix,2017,,"1 hour, 50 min.",Worldwide except Spain,
The Space Between Us,Science fiction,Netflix,2017,,"2 hours, 1 min.","Japan,[286] Italy, San Marino, Vatican City, Canada",
What Happened to Monday,Science fiction-thriller,Netflix,2017,,"2 hours, 3 min.","United States, Latin America, The Caribbean, UK, Ireland and Malta[287][288]",
You Get Me,Thriller,Netflix,2017,,"1 hour, 29 min.","Worldwide except Spain, Sweden",
A Fortunate Man,Drama,Netflix,2018,,"2 hours, 42 min.",Selected territories,
A Land Imagined,Thriller,Netflix,2018,,"1 hour, 35 min.",Selected territories,
A Twelve-Year Night,Drama,Netflix,2018,,"2 hours, 2 min.",Selected territories,
All Is Well,Drama,Netflix,2018,,"1 hour, 30 min.",Selected territories,
And Breathe Normally,Drama,Netflix,2018,,"1 hour, 35 min.",Selected territories,
Animas,Horror,Netflix,2018,,"1 hour, 23 min.",Worldwide except Spain,
Annihilation,Science fiction,Netflix,2018,,"1 hour, 55 min.",Worldwide except United States and Canada,
Anon,Science fiction,Netflix,2018,,"1 hour, 40 min.",Selected territories,
At Eternity's Gate,Biopic,Netflix,2018,,"1 hour, 51 min.",France[289],
Aurora,Drama,Netflix,2018,,"1 hour, 50 min.",Selected territories,
Bad Seeds,Comedy,Netflix,2018,,"1 hour, 40 min.","Selected territories, including Sweden",
Battle,Drama,Netflix,2018,,"1 hour, 38 min.",Selected territories,
Bayonet,Drama,Netflix,2018,,"1 hour, 41 min.",Selected territories,
Beirut,Spy thriller,Netflix,2018,,"1 hour, 49 min.",Selected territories including Japan,
Bleach,Action-drama,Netflix,2018,,"1 hour, 48 min.",Worldwide except Japan,
Budapest,Comedy,Netflix,2018,,"1 hour, 42 min.","Selected territories, including Sweden",
Cities of Last Things,Drama,Netflix,2018,,"1 hour, 47 min.",Selected territories,
Close Enemies,Drama,Netflix,2018,,"1 hour, 51 min.",Selected territories,
Curtiz,Drama,Netflix,2018,,"1 hour, 38 min.",Selected territories,
Crossroads: One Two Jaga,Drama,Netflix,2018,,"1 hour, 21 min.",Selected territories,
Dear Ex,Drama,Netflix,2018,,"1 hour, 40 min.",Selected territories,
Dovlatov,Drama,Netflix,2018,,"2 hours, 6 min.","United States, United Kingdom[290]",
Dry Martina,Comedy,Netflix,2018,,"1 hour, 35 min.",Selected territories,
Duck Duck Goose,Animation,Netflix,2018,,"1 hour, 29 min.",Selected territories including the United States[291],
Dumplin',Musical comedy-drama,Netflix,2018,,"1 hour, 50 min.",Selected territories including the United States,
El Potro: Unstoppable,Drama,Netflix,2018,,"2 hours, 2 min.",Selected territories,
Flavors of Youth: International Version,Anime,Netflix,2018,,"1 hour, 14 min.",Worldwide except Japan,
Girl,Drama,Netflix,2018,,"1 hour, 40 min.",Selected territories,
Girls with Balls,Comedy,Netflix,2018,,"1 hour, 17 min.",Selected territories,
Gnome Alone,Animation,Netflix,2018,,"1 hour, 25 min.","United States, Canada, Australia, Japan",
Godzilla: City on the Edge of Battle,Anime,Netflix,2018,,"1 hour, 40 min.",Worldwide except Japan,
Godzilla: The Planet Eater,Anime,Netflix,2018,,"1 hour, 32 min.",Worldwide except Japan,
Goyo: The Boy General,Drama,Netflix,2018,,"2 hours, 30 min.",Selected territories,
Guardians of the Tomb,Adventure,Netflix,2018,,"1 hour, 30 min.",Selected territories,
Gun City,Crime thriller,Netflix,2018,,"2 hours, 5 min.",Selected territories,
Happy as Lazzaro,Drama,Netflix,2018,,"2 hours, 10 min.","United States, Canada and Latin America[292]",
High Society,Drama,Netflix,2018,,"2 hours, 17 min.",Selected Territories,
How to Get Over a Breakup,Comedy,Netflix,2018,,"1 hour, 44 min.",Selected territories,
I Am Jonas,Drama,Netflix,2018,,"1 hour, 22 min.",Selected territories,
Illang: The Wolf Brigade,Action,Netflix,2018,,"2 hours, 19 min.",Worldwide except Korea[293],
Jaoon Kahan Bata Ae Dil,Drama,Netflix,2018,,"1 hour, 46 min.",Selected territories,
Jefe,Comedy,Netflix,2018,,"1 hour, 29 min.",Selected territories,
Joy,Drama,Netflix,2018,,"1 hour, 39 min.",Selected territories,
Kuntilanak,Horror,Netflix,2018,,"1 hour, 45 min.",Selected territories,
Lady J,Drama,Netflix,2018,,"1 hour, 49 min.","Worldwide except France, Switzerland, Canada and the Benelux countries.[294]",
Malevolent,Horror,Netflix,2018,,"1 hour, 28 min.","United States and selected territories, excluding Taiwan",
May the Devil Take You,Thriller,Netflix,2018,,"1 hour, 50 min.","Worldwide excluding Netherlands, Poland, Turkey, Indonesia, Malaysia[295]",
